iid,pid,age,emotion
18,166,32,fear
22,166,28,neutral
23,143,25,sad
24,143,27,happy
26,143,24,neutral
27,143,43,neutral
28,143,51,happy
29,143,33,neutral
30,143,32,happy
31,143,36,happy
32,143,35,fear
33,143,46,happy
35,859,45,angry
36,859,44,surprise
37,859,36,neutral
40,859,38,fear
41,859,39,sad
45,859,31,neutral
46,859,46,neutral
48,859,29,neutral
50,859,31,sad
51,859,32,angry
53,859,38,neutral
54,859,34,neutral
55,859,32,happy
59,201,27,happy
60,201,26,happy
61,615,37,sad
62,615,30,neutral
64,615,32,fear
65,615,27,neutral
67,615,30,neutral
68,615,31,neutral
69,615,43,angry
70,615,29,neutral
71,615,35,angry
72,615,30,happy
74,164,39,happy
75,164,40,happy
76,164,32,happy
77,164,38,happy
94,1022,30,happy
95,1022,24,neutral
96,1022,31,happy
97,1022,23,happy
98,1022,36,happy
99,1022,30,neutral
100,1022,32,happy
101,1022,28,happy
103,266,23,sad
104,266,31,neutral
105,266,24,happy
106,266,26,neutral
108,78,28,neutral
109,78,33,neutral
110,78,29,neutral
111,78,27,happy
112,78,31,happy
113,78,32,sad
114,78,33,happy
115,78,32,happy
116,78,33,neutral
117,78,29,angry
119,78,32,sad
120,78,26,neutral
121,447,29,happy
124,447,24,neutral
130,447,25,neutral
137,470,26,neutral
139,813,30,happy
140,813,31,happy
141,813,27,happy
144,813,25,sad
145,813,24,neutral
146,813,24,happy
147,888,28,angry
148,888,28,neutral
149,888,24,happy
150,888,30,fear
151,888,30,neutral
152,888,28,neutral
190,6,48,neutral
192,487,26,angry
200,419,36,happy
202,578,22,fear
211,446,21,happy
256,948,33,happy
257,948,28,angry
261,849,31,happy
266,778,32,surprise
267,778,30,happy
268,778,31,neutral
269,778,31,happy
270,778,36,happy
273,249,34,sad
274,249,32,happy
276,286,33,happy
277,286,36,happy
278,286,31,happy
279,286,36,happy
280,286,32,happy
281,766,31,sad
283,766,46,neutral
284,766,41,neutral
285,766,41,neutral
291,804,28,angry
292,804,21,happy
293,804,23,neutral
294,804,27,happy
295,804,25,happy
301,652,38,happy
305,652,43,happy
306,335,30,happy
307,335,39,happy
308,335,40,happy
309,335,35,happy
310,335,29,happy
311,335,33,happy
312,335,36,happy
313,335,30,happy
315,335,31,neutral
321,800,23,happy
332,276,32,neutral
333,276,37,happy
334,276,30,neutral
335,276,32,happy
336,276,29,neutral
338,276,33,happy
339,276,32,happy
340,276,34,happy
341,276,33,happy
342,276,33,happy
343,276,35,happy
344,276,32,neutral
345,276,32,happy
346,276,37,happy
347,529,31,happy
348,529,31,happy
349,529,30,happy
350,529,32,sad
351,529,31,happy
352,529,30,neutral
353,529,31,happy
354,529,26,neutral
355,529,31,neutral
356,529,30,happy
357,529,31,neutral
358,529,29,fear
359,529,31,happy
360,529,31,neutral
361,529,32,neutral
363,529,29,angry
393,950,31,happy
397,950,28,neutral
398,950,30,happy
399,950,31,happy
400,950,32,happy
401,950,32,happy
405,172,28,neutral
406,172,25,neutral
407,172,28,happy
408,172,21,happy
409,172,22,happy
410,172,23,happy
411,172,25,happy
412,172,22,happy
413,172,27,happy
417,171,25,happy
418,171,21,happy
419,171,28,happy
420,171,22,happy
421,171,24,happy
422,171,27,happy
423,171,25,sad
424,171,26,neutral
426,311,30,happy
429,311,30,happy
430,311,31,angry
431,311,28,happy
432,311,39,happy
433,311,26,happy
434,311,28,angry
435,311,31,happy
436,311,31,happy
459,989,40,happy
460,989,27,happy
461,989,30,angry
462,989,44,angry
463,989,32,neutral
464,989,43,happy
465,989,34,happy
466,989,42,neutral
467,465,32,happy
469,465,31,happy
471,465,31,happy
472,465,29,neutral
473,466,33,happy
474,466,30,sad
475,466,29,happy
478,466,30,sad
479,646,33,happy
480,646,41,happy
481,646,32,happy
482,646,34,happy
483,646,35,happy
484,646,36,happy
486,786,25,sad
491,927,31,angry
497,20,48,happy
499,20,41,happy
501,303,23,happy
503,303,28,happy
504,303,29,happy
505,303,23,sad
507,303,27,happy
508,303,22,neutral
509,303,30,fear
511,303,30,happy
512,303,22,happy
514,254,25,neutral
515,254,21,neutral
517,254,25,neutral
518,1070,30,neutral
520,1070,26,neutral
521,1070,25,happy
522,1070,23,happy
525,241,30,neutral
527,241,31,neutral
528,241,33,happy
531,241,30,neutral
533,241,29,happy
534,322,33,neutral
535,322,27,sad
536,322,28,neutral
539,322,31,happy
540,322,32,sad
541,322,33,sad
542,322,28,happy
544,322,28,neutral
545,322,28,neutral
547,322,35,happy
548,322,33,neutral
549,308,22,happy
550,308,22,neutral
551,308,22,neutral
552,308,21,neutral
553,308,22,angry
554,308,23,happy
555,308,22,happy
556,521,22,happy
558,521,26,fear
559,521,28,happy
561,521,23,happy
562,521,30,happy
564,521,28,neutral
566,521,30,neutral
568,521,30,happy
570,675,30,happy
572,675,33,happy
576,936,33,happy
579,441,31,happy
580,441,30,happy
581,441,33,happy
582,441,29,happy
583,441,30,happy
584,441,29,sad
585,441,33,happy
586,441,33,happy
587,441,31,neutral
588,441,32,neutral
589,441,34,angry
590,441,29,happy
594,441,31,happy
595,441,32,neutral
637,291,24,happy
640,291,24,happy
641,291,28,happy
642,498,27,neutral
643,498,26,happy
644,498,28,happy
645,498,25,happy
647,498,26,happy
648,498,29,fear
649,498,29,neutral
655,434,34,happy
656,1097,23,happy
657,1097,23,happy
658,1097,23,neutral
660,1097,24,happy
661,1097,24,happy
662,1097,23,happy
665,744,45,happy
667,744,49,neutral
668,744,41,angry
672,257,32,happy
674,257,32,happy
675,755,50,sad
676,755,34,happy
677,755,44,angry
680,1112,27,happy
681,1112,26,happy
682,1112,23,happy
683,1112,33,happy
684,1112,35,happy
685,1112,26,happy
686,1064,36,happy
687,1064,41,happy
688,1064,33,happy
689,1064,36,happy
692,377,37,happy
693,377,41,happy
700,944,37,happy
726,836,31,neutral
727,836,32,happy
728,836,30,happy
729,836,24,happy
730,836,28,happy
731,450,26,happy
733,450,26,happy
736,628,25,happy
737,628,27,happy
738,628,27,happy
739,628,34,sad
740,628,24,happy
741,651,49,happy
742,651,32,happy
743,651,27,happy
745,651,36,happy
746,371,21,happy
747,371,22,happy
748,371,23,happy
752,371,27,happy
753,997,25,happy
754,997,26,happy
755,997,32,happy
756,997,31,happy
757,997,25,neutral
758,997,33,happy
759,997,25,happy
760,997,29,happy
762,797,32,happy
763,797,33,happy
764,797,32,happy
765,797,30,happy
766,114,31,happy
767,114,31,happy
768,114,28,sad
769,114,31,happy
770,114,29,happy
798,641,30,happy
799,641,27,happy
800,641,24,happy
801,641,26,happy
802,641,32,happy
803,641,29,happy
804,641,30,happy
805,641,33,happy
806,641,25,happy
807,641,25,neutral
809,641,29,happy
810,641,32,happy
817,672,34,happy
818,672,29,happy
819,672,25,happy
820,672,32,happy
821,672,26,happy
822,672,27,happy
823,672,35,happy
824,672,21,happy
825,672,31,happy
826,672,25,happy
827,672,33,sad
828,672,28,happy
829,672,30,happy
830,672,22,happy
831,672,29,happy
832,672,25,neutral
833,672,29,sad
834,207,23,happy
835,207,21,happy
836,207,25,neutral
837,207,22,happy
838,207,30,happy
839,207,24,happy
841,215,28,happy
842,215,25,happy
843,215,34,happy
844,215,23,sad
845,217,35,happy
846,217,27,happy
881,5,35,neutral
882,5,47,happy
883,5,30,angry
885,5,23,happy
886,725,23,neutral
887,725,29,happy
888,725,24,neutral
889,725,28,happy
890,725,23,happy
894,834,30,angry
895,834,29,happy
897,834,32,happy
899,834,30,happy
900,834,30,happy
942,417,25,neutral
946,203,27,happy
947,203,27,happy
948,203,28,happy
949,203,26,happy
950,203,31,happy
951,56,33,fear
953,56,31,neutral
954,56,39,neutral
956,1063,30,neutral
960,1063,31,happy
962,117,42,happy
963,117,33,happy
964,117,33,happy
966,117,38,happy
967,117,32,happy
968,117,43,happy
969,188,39,happy
970,188,28,happy
971,188,39,happy
972,188,25,neutral
973,188,40,angry
974,188,39,happy
981,150,29,angry
982,150,23,neutral
984,150,33,neutral
985,150,31,neutral
986,150,32,happy
987,150,29,happy
988,150,31,angry
989,89,26,angry
990,89,27,happy
991,89,25,happy
992,89,30,sad
994,89,32,sad
995,89,32,angry
996,89,25,fear
998,89,32,angry
999,89,27,angry
1000,89,27,neutral
1001,89,34,neutral
1014,768,35,sad
1015,768,30,neutral
1016,768,33,sad
1017,768,29,happy
1019,768,31,neutral
1020,768,29,neutral
1022,768,25,neutral
1023,768,34,happy
1024,768,36,happy
1025,768,31,neutral
1026,768,34,neutral
1098,438,32,neutral
1099,438,32,happy
1100,438,31,neutral
1101,438,33,neutral
1102,438,33,neutral
1103,438,33,happy
1104,438,30,neutral
1105,438,31,happy
1106,438,33,happy
1107,438,30,happy
1108,438,32,happy
1109,438,30,happy
1110,438,31,neutral
1111,438,32,happy
1112,438,35,happy
1120,602,41,happy
1121,602,40,neutral
1122,602,42,happy
1123,602,50,happy
1125,602,45,neutral
1126,602,38,happy
1127,602,34,happy
1128,602,42,neutral
1129,602,39,happy
1130,602,33,happy
1131,602,45,neutral
1132,602,44,happy
1143,343,43,happy
1144,343,38,happy
1148,343,32,happy
1149,343,48,happy
1150,343,51,happy
1151,343,34,happy
1154,28,45,angry
1155,28,39,neutral
1156,28,46,angry
1157,28,44,happy
1159,28,32,angry
1160,28,35,happy
1161,28,36,happy
1162,28,28,happy
1164,28,23,sad
1165,28,38,neutral
1166,28,22,angry
1168,28,23,happy
1172,28,35,happy
1173,28,33,happy
1175,28,43,happy
1179,28,33,fear
1181,28,44,happy
1182,28,31,happy
1183,28,40,fear
1184,28,40,neutral
1185,396,31,happy
1189,396,32,happy
1190,396,33,happy
1192,396,32,happy
1193,396,32,happy
1194,396,32,neutral
1195,396,31,happy
1197,396,33,happy
1198,396,32,neutral
1199,396,31,neutral
1200,396,32,happy
1201,396,32,neutral
1204,396,31,happy
1209,1083,27,happy
1211,1083,27,happy
1212,1083,26,neutral
1214,1083,27,neutral
1218,1083,27,happy
1219,1083,26,happy
1222,1083,26,happy
1224,1083,30,happy
1225,1083,24,happy
1227,1083,26,happy
1229,790,34,happy
1230,790,27,happy
1231,790,33,happy
1232,790,30,happy
1243,325,31,angry
1244,325,31,happy
1245,325,29,happy
1246,325,31,happy
1247,325,30,happy
1248,325,28,happy
1251,325,30,happy
1253,875,34,happy
1254,875,36,happy
1258,318,25,happy
1260,318,23,happy
1263,647,31,happy
1264,647,31,happy
1265,647,33,happy
1266,647,32,happy
1267,647,27,happy
1268,985,24,happy
1269,985,31,happy
1270,985,39,happy
1271,985,32,happy
1274,633,32,happy
1278,633,30,happy
1283,751,30,happy
1286,751,33,happy
1287,751,34,happy
1300,1010,39,happy
1301,1010,42,happy
1304,1010,36,happy
1305,1010,39,neutral
1306,1010,41,happy
1307,1010,33,happy
1308,1010,37,neutral
1309,1010,30,happy
1310,1010,32,happy
1311,1010,40,happy
1312,65,49,happy
1313,65,35,happy
1315,65,35,happy
1318,290,32,happy
1319,290,32,happy
1320,290,33,happy
1321,290,32,happy
1322,2,29,neutral
1323,2,27,neutral
1324,2,27,happy
1326,2,31,happy
1330,223,26,happy
1331,223,24,happy
1332,561,29,happy
1333,561,28,happy
1334,561,25,neutral
1335,561,24,happy
1340,206,25,happy
1341,206,21,sad
1342,206,20,happy
1343,206,22,happy
1344,226,28,happy
1348,658,42,happy
1349,658,32,happy
1350,658,39,happy
1353,658,31,happy
1354,658,29,happy
1357,228,30,neutral
1358,228,23,neutral
1359,228,25,happy
1360,689,35,happy
1361,689,32,happy
1362,689,37,happy
1363,689,30,happy
1365,689,37,happy
1366,689,39,happy
1367,689,34,happy
1372,902,45,neutral
1375,838,34,happy
1379,638,35,happy
1380,638,30,neutral
1382,638,43,happy
1383,284,42,happy
1384,284,39,happy
1389,199,32,happy
1393,199,32,happy
1394,199,25,happy
1395,199,29,happy
1410,191,51,neutral
1411,134,35,happy
1412,134,34,happy
1415,134,34,happy
1441,922,33,neutral
1442,922,30,angry
1443,922,28,happy
1444,922,32,neutral
1446,695,34,neutral
1447,695,36,neutral
1449,695,42,happy
1450,695,30,sad
1453,661,31,happy
1454,661,32,neutral
1455,661,31,fear
1456,661,33,happy
1458,996,30,neutral
1459,996,38,angry
1460,996,29,sad
1461,996,33,neutral
1468,921,30,neutral
1469,921,26,happy
1473,921,27,happy
1474,866,32,happy
1476,866,33,sad
1480,925,25,neutral
1481,925,33,neutral
1485,925,26,happy
1486,925,23,neutral
1487,925,32,happy
1489,925,31,neutral
1490,925,27,neutral
1492,959,49,happy
1493,959,47,neutral
1494,959,42,sad
1495,959,46,happy
1496,1080,24,happy
1497,1080,23,neutral
1498,1080,23,happy
1499,1080,27,neutral
1500,1080,25,sad
1501,227,27,happy
1503,227,23,happy
1506,1018,32,happy
1507,1018,33,happy
1508,1018,32,happy
1509,1018,31,neutral
1543,590,38,fear
1544,590,34,surprise
1545,590,34,neutral
1546,590,34,neutral
1547,590,39,happy
1549,590,41,surprise
1552,590,39,happy
1554,590,36,happy
1556,590,44,happy
1558,817,38,happy
1559,817,42,happy
1560,817,23,happy
1561,817,42,happy
1564,817,41,happy
1565,817,41,happy
1567,817,45,happy
1568,817,42,happy
1569,817,40,happy
1586,994,36,happy
1587,994,40,happy
1588,994,38,happy
1589,994,32,happy
1591,994,33,happy
1592,994,36,happy
1593,994,31,happy
1594,994,29,happy
1595,994,26,happy
1596,994,31,neutral
1597,994,22,happy
1605,38,39,angry
1606,38,41,happy
1607,38,40,happy
1608,38,38,happy
1609,38,45,sad
1610,974,28,happy
1611,974,28,neutral
1612,974,23,happy
1613,974,25,happy
1614,974,28,happy
1617,299,38,happy
1618,299,33,happy
1619,299,36,happy
1620,297,33,neutral
1621,297,35,happy
1623,297,33,happy
1624,297,34,happy
1627,781,32,happy
1628,781,33,happy
1629,781,27,happy
1633,247,29,happy
1636,762,32,neutral
1637,762,33,happy
1638,762,28,happy
1639,762,32,happy
1640,762,28,neutral
1641,762,31,happy
1642,762,27,happy
1643,762,25,happy
1657,330,32,neutral
1663,330,32,happy
1664,330,32,happy
1665,330,31,happy
1666,330,31,neutral
1672,330,32,happy
1673,250,29,happy
1674,250,29,happy
1675,250,23,neutral
1677,250,26,neutral
1678,250,23,sad
1687,1109,34,happy
1688,1109,31,happy
1691,1118,30,happy
1692,1118,23,neutral
1693,1118,23,angry
1694,1118,25,neutral
1695,1118,23,neutral
1696,1118,23,happy
1697,1118,23,neutral
1698,1118,23,neutral
1699,1118,23,neutral
1701,1118,23,neutral
1702,1118,24,happy
1703,329,34,happy
1705,329,37,happy
1709,339,29,happy
1710,339,32,neutral
1712,339,31,happy
1713,339,29,happy
1714,339,33,neutral
1715,339,30,happy
1716,339,32,happy
1717,339,33,happy
1719,932,22,neutral
1720,932,22,neutral
1721,932,28,neutral
1727,977,25,neutral
1729,393,43,happy
1730,393,32,happy
1731,393,43,happy
1734,1061,49,neutral
1735,1061,35,happy
1736,1061,49,happy
1737,1061,43,happy
1739,1106,26,happy
1740,1106,29,neutral
1741,1106,31,happy
1742,1106,30,happy
1743,1106,26,happy
1744,1106,24,happy
1745,1106,35,happy
1746,1106,25,happy
1747,1106,28,happy
1748,931,28,happy
1749,931,21,sad
1750,931,26,sad
1751,931,23,sad
1755,70,26,sad
1756,70,27,happy
1757,70,28,sad
1758,70,26,happy
1759,128,30,happy
1760,128,33,neutral
1761,128,32,happy
1763,128,30,neutral
1767,128,25,neutral
1781,88,23,neutral
1782,88,32,neutral
1786,88,26,neutral
1794,88,32,happy
1795,127,33,happy
1797,127,32,happy
1800,127,34,happy
1801,127,32,neutral
1803,127,29,happy
1805,175,29,angry
1806,175,31,happy
1807,175,33,happy
1808,175,30,happy
1809,175,29,neutral
1812,175,32,happy
1813,175,30,happy
1815,76,39,happy
1816,76,33,neutral
1817,76,28,neutral
1818,76,27,happy
1819,76,26,happy
1820,76,24,happy
1821,76,24,happy
1822,76,26,happy
1823,76,32,happy
1825,1026,29,happy
1826,1026,24,happy
1827,1026,26,happy
1828,1026,32,happy
1829,1026,26,happy
1830,1026,24,happy
1832,77,35,happy
1834,77,33,happy
1835,77,35,angry
1837,444,32,happy
1838,444,31,happy
1839,444,32,happy
1840,444,32,happy
1841,444,32,happy
1842,444,33,happy
1844,444,34,happy
1845,444,32,happy
1847,1050,22,happy
1848,1050,25,neutral
1849,1050,31,happy
1850,1050,29,happy
1854,1050,30,neutral
1856,1050,23,happy
1877,9,32,happy
1879,9,36,sad
1881,9,33,happy
1882,971,24,happy
1883,971,23,happy
1884,971,25,happy
1886,971,26,happy
1889,1015,22,happy
1890,1015,26,neutral
1900,595,32,neutral
1903,595,27,neutral
1906,867,22,neutral
1907,867,27,happy
1908,867,32,neutral
1909,867,25,happy
1911,867,22,neutral
1913,867,31,happy
1915,867,29,angry
1917,990,45,neutral
1918,990,34,sad
1922,990,38,happy
1923,990,39,happy
1924,585,46,happy
1925,585,40,sad
1926,585,39,happy
1928,585,26,happy
1929,585,45,happy
1931,585,40,happy
1933,585,51,happy
1934,585,44,neutral
1935,585,43,neutral
1936,585,38,happy
1937,585,40,happy
1943,411,37,happy
1944,411,31,happy
1945,411,24,happy
1946,411,27,happy
1947,411,24,happy
1948,411,23,happy
1950,411,23,happy
1951,411,23,happy
1952,411,28,fear
1953,411,24,happy
1954,411,25,happy
1955,411,34,happy
1956,411,27,neutral
1957,411,23,happy
1958,499,26,happy
1959,499,28,neutral
1960,499,31,happy
1961,499,26,happy
1962,499,30,neutral
1963,499,30,neutral
1964,499,28,neutral
1965,499,29,neutral
1966,499,31,happy
1967,499,31,neutral
1968,499,31,neutral
1969,499,31,happy
1970,499,30,happy
1971,499,24,happy
1972,499,32,happy
1973,499,32,happy
1981,1069,34,happy
1982,1069,32,happy
1983,1069,29,happy
1984,1069,29,neutral
1985,1069,29,happy
1986,1069,33,happy
1991,613,31,happy
1992,613,39,happy
1994,454,27,happy
1995,454,25,neutral
1996,454,28,neutral
1997,454,28,happy
1998,454,26,happy
1999,454,25,happy
2000,454,27,happy
2058,518,29,happy
2059,518,25,happy
2061,518,28,happy
2062,518,31,happy
2064,519,24,happy
2067,519,26,happy
2068,519,26,happy
2069,519,27,happy
2070,519,29,happy
2071,519,31,happy
2072,519,31,happy
2073,568,26,happy
2075,568,28,happy
2076,568,25,happy
2079,568,33,neutral
2080,568,37,happy
2081,688,38,neutral
2082,688,34,happy
2083,688,39,angry
2084,688,43,sad
2085,688,34,sad
2086,688,45,neutral
2087,688,42,sad
2107,319,25,happy
2108,319,29,happy
2109,319,25,happy
2110,319,28,happy
2111,319,28,happy
2112,319,29,happy
2113,319,28,happy
2114,319,27,happy
2115,550,31,happy
2116,550,28,happy
2117,550,30,happy
2118,550,33,happy
2119,550,25,happy
2120,550,27,neutral
2121,550,33,happy
2122,550,26,happy
2123,550,25,happy
2124,321,27,neutral
2125,321,23,sad
2126,321,31,happy
2127,321,27,happy
2128,321,28,happy
2129,321,30,happy
2130,321,23,happy
2131,321,28,happy
2132,943,50,neutral
2133,943,46,neutral
2134,943,51,sad
2135,943,48,happy
2136,943,51,neutral
2137,943,50,sad
2138,943,52,happy
2139,943,34,happy
2140,720,26,happy
2141,720,38,happy
2142,720,35,happy
2143,720,24,happy
2144,720,31,happy
2146,720,28,happy
2147,720,30,happy
2148,720,32,happy
2150,720,24,happy
2151,720,32,happy
2152,720,25,happy
2153,720,33,neutral
2154,720,32,happy
2155,720,40,happy
2156,720,30,happy
2157,720,29,happy
2158,720,25,happy
2159,720,35,happy
2160,485,33,fear
2161,485,27,happy
2162,485,25,happy
2163,485,26,happy
2164,485,27,happy
2165,485,25,happy
2166,485,35,happy
2167,485,36,happy
2168,485,25,neutral
2169,486,24,happy
2170,486,23,happy
2171,486,27,neutral
2172,486,25,happy
2173,486,24,neutral
2174,486,24,neutral
2175,486,24,happy
2176,486,23,happy
2177,486,25,angry
2178,986,29,happy
2179,986,23,sad
2180,986,36,happy
2181,986,22,happy
2182,986,41,angry
2183,986,27,happy
2184,986,40,neutral
2185,986,23,happy
2186,986,30,happy
2187,986,22,neutral
2188,986,37,happy
2189,986,22,angry
2190,986,25,happy
2191,986,24,happy
2201,356,26,happy
2209,356,35,neutral
2210,356,25,happy
2211,185,30,happy
2212,185,49,happy
2213,185,35,happy
2214,185,39,happy
2215,185,40,fear
2216,185,35,happy
2219,184,29,neutral
2220,184,24,neutral
2221,184,25,happy
2223,184,25,fear
2225,184,24,happy
2226,184,46,happy
2227,184,34,sad
2228,184,28,happy
2229,184,31,neutral
2231,184,41,neutral
2235,123,32,neutral
2239,123,50,happy
2240,115,31,angry
2241,115,30,sad
2242,115,32,happy
2243,115,37,sad
2244,115,30,sad
2245,115,29,sad
2246,115,33,happy
2247,115,31,neutral
2249,115,30,happy
2250,115,26,fear
2260,181,33,angry
2262,181,30,sad
2264,181,38,neutral
2267,121,29,happy
2272,121,33,neutral
2276,125,35,sad
2278,125,31,happy
2280,125,27,happy
2281,125,29,sad
2282,125,29,happy
2285,169,34,sad
2286,169,31,happy
2287,169,33,happy
2288,169,31,neutral
2290,169,23,neutral
2291,169,32,neutral
2294,170,24,sad
2297,170,25,neutral
2298,170,28,happy
2310,326,31,happy
2311,326,35,happy
2312,326,33,happy
2313,326,35,happy
2314,326,33,happy
2315,326,32,happy
2316,326,29,happy
2317,326,32,happy
2318,326,32,happy
2319,326,33,happy
2320,326,32,happy
2321,326,33,happy
2322,326,33,happy
2324,179,26,neutral
2327,179,28,happy
2329,179,28,neutral
2331,179,28,neutral
2332,179,32,neutral
2334,281,36,happy
2357,386,43,happy
2358,386,36,happy
2359,386,43,happy
2363,51,31,happy
2365,51,40,sad
2367,563,28,happy
2368,563,30,happy
2369,563,28,neutral
2370,563,33,neutral
2371,563,32,neutral
2372,563,31,happy
2373,563,20,happy
2374,903,31,happy
2378,903,32,neutral
2433,408,34,neutral
2434,408,33,happy
2436,408,35,sad
2437,408,36,happy
2438,408,36,happy
2439,408,34,neutral
2440,408,37,happy
2441,408,33,happy
2442,408,40,happy
2443,408,38,happy
2444,408,35,happy
2445,408,35,happy
2446,408,37,happy
2447,408,35,happy
2449,408,36,happy
2450,408,35,happy
2459,536,25,neutral
2460,536,24,fear
2462,536,39,neutral
2463,536,32,sad
2465,536,38,happy
2466,536,35,happy
2467,536,42,fear
2468,536,44,happy
2471,536,40,happy
2472,536,36,happy
2473,536,36,happy
2474,536,33,happy
2475,534,23,neutral
2476,534,24,neutral
2477,534,31,happy
2478,534,24,happy
2479,534,23,happy
2481,534,25,neutral
2482,534,28,neutral
2483,534,27,neutral
2484,534,23,happy
2485,969,32,happy
2486,969,32,fear
2487,969,32,fear
2488,969,32,fear
2489,969,32,angry
2490,344,36,happy
2491,344,28,happy
2492,344,34,neutral
2493,344,33,happy
2494,344,33,happy
2496,344,37,happy
2497,344,37,happy
2498,344,40,happy
2499,344,34,happy
2500,344,42,sad
2501,344,33,happy
2502,344,35,happy
2504,552,31,happy
2505,552,33,neutral
2506,552,32,happy
2507,552,31,happy
2508,552,31,neutral
2550,930,26,neutral
2551,930,29,neutral
2552,930,24,happy
2554,930,31,neutral
2556,930,32,happy
2557,930,29,neutral
2558,930,31,happy
2559,802,25,neutral
2561,802,25,neutral
2562,802,22,neutral
2563,802,23,neutral
2566,802,24,fear
2567,802,23,neutral
2569,1113,23,neutral
2570,1113,23,happy
2572,1113,30,happy
2573,1113,28,neutral
2574,1113,22,neutral
2575,1113,29,happy
2576,1113,22,happy
2578,539,39,happy
2579,539,29,happy
2580,539,34,happy
2581,539,36,happy
2582,539,30,happy
2583,539,42,happy
2586,539,39,happy
2588,539,43,happy
2589,539,32,happy
2590,539,40,angry
2591,539,44,happy
2592,459,32,happy
2593,459,36,happy
2594,459,32,happy
2595,459,27,happy
2597,459,33,happy
2598,459,31,neutral
2599,459,35,disgust
2600,459,33,neutral
2601,459,33,happy
2602,459,32,happy
2604,459,27,happy
2605,459,32,neutral
2606,459,32,happy
2607,459,33,happy
2611,456,28,neutral
2612,456,34,happy
2613,456,40,neutral
2614,456,32,happy
2615,456,31,neutral
2616,456,30,happy
2617,456,30,neutral
2618,456,29,happy
2619,456,29,happy
2620,456,32,happy
2621,456,31,fear
2622,456,31,happy
2624,456,32,happy
2625,456,32,happy
2626,456,32,happy
2627,456,33,happy
2628,456,32,happy
2629,456,32,happy
2630,456,31,happy
2631,456,30,happy
2634,619,32,happy
2635,619,26,happy
2636,619,27,neutral
2637,619,26,neutral
2639,157,30,happy
2641,157,24,neutral
2642,157,33,happy
2644,156,38,fear
2645,156,38,neutral
2646,156,44,fear
2647,156,42,sad
2648,156,33,happy
2649,618,31,happy
2650,618,24,happy
2651,618,24,happy
2652,618,28,sad
2653,618,32,happy
2654,1004,40,neutral
